abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,generation,height_m,hp,image,is_legendary,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,Flame Pokémon,78,1059860,1,1.7,78,images/charizard.png,0,Lizardonリザードン,Charizard,88.1,6,159,115,100,fire,flying,90.5
['Battery'],1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1,82,3840,70,400,120,Battery Pokémon,95,1000000,7,0.5,57,images/charjabug.png,0,Dendimushiデンヂムシ,Charjabug,50,737,55,75,36,bug,electric,10.5
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard Pokémon,43,1059860,1,0.6,39,images/charmander.png,0,Hitokageヒトカゲ,Charmander,88.1,4,60,50,65,fire,,8.5
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame Pokémon,58,1059860,1,1.1,58,images/charmeleon.png,0,Lizardoリザード,Charmeleon,88.1,5,80,65,80,fire,,19.0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,65,5120,35,411,30,Music Note Pokémon,45,1059860,4,0.5,76,images/chatot.png,0,Perapペラップ,Chatot,50,441,92,42,91,normal,flying,1.9
['Flower Gift'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,60,5120,70,450,75,Blossom Pokémon,70,1000000,4,0.5,70,images/cherrim.png,0,Cherrimチェリム,Cherrim,50,421,87,78,85,grass,,9.3
['Chlorophyll'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,35,5120,70,275,190,Cherry Pokémon,45,1000000,4,0.4,45,images/cherubi.png,0,Cherinboチェリンボ,Cherubi,50,420,62,53,35,grass,,3.3
"['Overgrow', 'Bulletproof']",1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,107,5120,70,530,45,Spiny Armor Pokémon,122,1059860,6,1.6,88,images/chesnaught.png,0,Brigarronブリガロン,Chesnaught,88.1,652,74,75,64,grass,fighting,90.0
"['Overgrow', 'Bulletproof']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,61,5120,70,313,45,Spiky Nut Pokémon,65,1059860,6,0.4,56,images/chespin.png,0,Harimaronハリマロン,Chespin,88.1,650,48,45,38,grass,,9.0
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,318,45,Leaf Pokémon,65,1059860,2,0.9,45,images/chikorita.png,0,Chicoritaチコリータ,Chikorita,88.1,152,49,65,45,grass,,6.4
"['Blaze', 'Iron Fist']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,58,5120,70,309,45,Chimp Pokémon,44,1059860,4,0.5,44,images/chimchar.png,0,Hikozaruヒコザル,Chimchar,88.1,390,58,44,61,fire,,6.2
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,6400,70,455,45,Wind Chime Pokémon,80,800000,3,0.6,75,images/chimecho.png,0,Chireanチリーン,Chimecho,50,358,95,90,65,psychic,,1.0
"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,38,5120,70,330,190,Angler Pokémon,38,1250000,2,0.5,75,images/chinchou.png,0,Chonchieチョンチー,Chinchou,50,170,56,56,67,water,electric,12.0
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30,6400,70,285,120,Bell Pokémon,50,800000,4,0.2,45,images/chingling.png,0,Lisyanリーシャン,Chingling,50,433,65,50,45,psychic,,0.6
"['Cute Charm', 'Technician', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,3840,70,470,60,Scarf Pokémon,60,800000,5,0.5,75,images/cinccino.png,0,Chillaccinoチラチーノ,Cinccino,24.6,573,65,60,115,normal,,7.5
"['Shell Armor', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,64,5120,70,345,255,Bivalve Pokémon,85,600000,3,0.4,35,images/clamperl.png,0,Pearluluパールル,Clamperl,50,366,74,55,32,water,,52.5
['Mega Launcher'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,53,3840,70,330,225,Water Gun Pokémon,62,1250000,6,0.5,50,images/clauncher.png,0,Udeppouウデッポウ,Clauncher,50,692,58,63,44,water,,8.3
['Mega Launcher'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,73,3840,70,500,55,Howitzer Pokémon,88,1250000,6,1.3,71,images/clawitzer.png,0,Blosterブロスター,Clawitzer,50,693,120,89,59,water,,35.3
['Levitate'],2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,70,5120,70,500,90,Clay Doll Pokémon,105,1000000,3,1.5,60,images/claydol.png,0,Nendollネンドール,Claydol,0,344,70,120,75,ground,psychic,108.0
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,Fairy Pokémon,73,800000,1,1.3,95,images/clefable.png,0,Pixyピクシー,Clefable,24.6,36,95,90,60,fairy,,40.0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,Fairy Pokémon,48,800000,1,0.6,70,images/clefairy.png,0,Pippiピッピ,Clefairy,24.6,35,60,65,35,fairy,,7.5
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2560,140,218,150,Star Shape Pokémon,28,800000,2,0.3,50,images/cleffa.png,0,Pyピィ,Cleffa,24.6,173,45,55,15,fairy,,3.0
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,Bivalve Pokémon,180,1250000,1,1.5,50,images/cloyster.png,0,Parshenパルシェン,Cloyster,50,91,85,45,70,water,ice,132.5
['Justified'],0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1,90,20480,35,580,3,Iron Will Pokémon,129,1250000,5,2.1,91,images/cobalion.png,1,Cobalonコバルオン,Cobalion,0,638,90,72,108,steel,fighting,250.0
['Mummy'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,50,6400,70,483,90,Coffin Pokémon,145,1000000,5,1.7,58,images/cofagrigus.png,0,Desukarnデスカーン,Cofagrigus,50,563,95,105,30,ghost,,76.5
"['Honey Gather', 'Hustle']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,30,3840,70,244,120,Tiny Bee Pokémon,42,1059860,4,0.3,30,images/combee.png,0,Mitsuhoneyミツハニー,Combee,88.1,415,30,42,70,bug,flying,5.5
"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,85,5120,70,405,45,Young Fowl Pokémon,60,1059860,3,0.9,60,images/combusken.png,0,Wakasyamoワカシャモ,Combusken,88.1,256,85,60,55,fire,fighting,19.5
"['Flower Veil', 'Triage', 'Natural Cure']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,52,5120,70,485,60,Posy Picker Pokémon,90,800000,7,0.1,51,images/comfey.png,0,Cuwawaキュワワー,Comfey,24.6,764,82,110,100,fairy,,0.3
"['Guts', 'Sheer Force', 'Iron Fist']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,140,5120,70,505,45,Muscular Pokémon,95,1059860,5,1.4,105,images/conkeldurr.png,0,Roubushinローブシン,Conkeldurr,75.4,534,55,65,45,fighting,,87.0
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,3840,70,308,205,Ruffian Pokémon,65,1640000,3,0.6,43,images/corphish.png,0,Heiganiヘイガニ,Corphish,50,341,50,35,35,water,,11.5
"['Hustle', 'Natural Cure', 'Regenerator']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,5120,70,410,60,Coral Pokémon,95,800000,2,0.6,65,images/corsola.png,0,Sunnygoサニーゴ,Corsola,24.6,222,65,95,35,water,rock,5.0
['Sturdy'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,29,30720,0,400,45,Protostar Pokémon,131,1250000,7,0.1,43,images/cosmoem.png,1,Cosmovumコスモウム,Cosmoem,0,790,29,131,37,psychic,,999.9
['Unaware'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,29,30720,0,200,45,Nebula Pokémon,31,1250000,7,0.2,43,images/cosmog.png,1,Cosmogコスモッグ,Cosmog,0,789,29,31,37,psychic,,0.1
"['Prankster', 'Infiltrator', 'Chlorophyll']",1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5,27,5120,70,280,190,Cotton Puff Pokémon,60,1000000,5,0.3,40,images/cottonee.png,0,Monmenモンメン,Cottonee,50,546,37,50,66,grass,fairy,0.6
"['Hyper Cutter', 'Iron Fist', 'Anger Point']",0.5,0.5,1,1,2,2,2,2,1,1,1,0.5,1,1,2,1,2,1,132,5120,70,478,60,Woolly Crab Pokémon,77,1000000,7,1.7,97,images/crabominable.png,0,Kekenkaniケケンカニ,Crabominable,50,740,62,67,43,fighting,ice,180.0
"['Hyper Cutter', 'Iron Fist', 'Anger Point']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,82,5120,70,338,225,Boxing Pokémon,57,1000000,7,0.6,47,images/crabrawler.png,0,Makenkaniマケンカニ,Crabrawler,50,739,42,47,63,fighting,,7.0
"['Suction Cups', 'Storm Drain']",2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,81,7680,70,495,45,Barnacle Pokémon,97,600000,3,1.5,86,images/cradily.png,0,Yuradleユレイドル,Cradily,88.1,346,81,107,43,rock,grass,60.4
"['Mold Breaker', 'Sheer Force']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,125,7680,70,350,45,Head Butt Pokémon,40,600000,4,0.9,67,images/cranidos.png,0,Zugaidosズガイドス,Cranidos,88.1,408,30,30,58,rock,,31.5
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,120,3840,70,468,155,Rogue Pokémon,85,1640000,3,1.1,63,images/crawdaunt.png,0,Shizarigerシザリガー,Crawdaunt,50,342,90,55,55,water,dark,32.8
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,30720,100,600,3,Lunar Pokémon,120,1250000,4,1.5,120,images/cresselia.png,1,Cresseliaクレセリア,Cresselia,0,488,75,130,85,psychic,,85.6
"['Anticipation', 'Dry Skin', 'Poison Touch']",0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1,61,2560,100,300,140,Toxic Mouth Pokémon,40,1000000,4,0.7,48,images/croagunk.png,0,Gureggruグレッグル,Croagunk,50,453,61,40,50,poison,fighting,23.0
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,3840,70,535,90,Bat Pokémon,80,1000000,2,1.8,85,images/crobat.png,0,Crobatクロバット,Crobat,50,169,70,80,130,poison,flying,75.0
"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,405,45,Big Jaw Pokémon,80,1059860,2,1.1,65,images/croconaw.png,0,Alligatesアリゲイツ,Croconaw,88.1,159,59,63,58,water,,25.0
"['Sturdy', 'Shell Armor', 'Weak Armor']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,105,5120,70,485,75,Stone Home Pokémon,125,1000000,5,1.4,70,images/crustle.png,0,Iwapalaceイワパレス,Crustle,50,558,65,75,45,bug,rock,200.0
['Levitate'],1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,50,6400,70,515,25,Crystallizing Pokémon,50,1000000,5,1.1,80,images/cryogonal.png,0,Freegeoフリージオ,Cryogonal,0,615,95,135,105,ice,,148.0
"['Snow Cloak', 'Slush Rush', 'Rattled']",1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,70,5120,70,305,120,Chill Pokémon,40,1000000,5,0.5,55,images/cubchoo.png,0,Kumasyunクマシュン,Cubchoo,50,613,60,40,40,ice,,8.5
"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,Lonely Pokémon,95,1000000,1,0.4,50,images/cubone.png,0,Karakaraカラカラ,Cubone,50,104,40,50,35,ground,,6.5
"['Honey Gather', 'Shield Dust', 'Sweet Veil']",0.5,0.5,0,1,1,0.25,2,2,1,0.5,0.5,1,1,2,1,2,2,1,45,5120,70,304,190,Bee Fly Pokémon,40,1000000,7,0.1,40,images/cutiefly.png,0,Abulyアブリー,Cutiefly,50,742,55,40,84,bug,fairy,0.2
"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Fire Mouse Pokémon,43,1059860,2,0.5,39,images/cyndaquil.png,0,Hinoarashiヒノアラシ,Cyndaquil,88.1,155,60,50,65,fire,,7.9
['Bad Dreams'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,30720,0,600,3,Pitch-Black Pokémon,90,1250000,4,1.5,70,images/darkrai.png,1,Darkraiダークライ,Darkrai,0,491,135,90,125,dark,,50.5
"['Sheer Force', 'Zen Mode']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,30,5120,70,540,60,Blazing Pokémon,105,1059860,5,1.3,105,images/darmanitan-standard.png,0,Hihidarumaヒヒダルマ,Darmanitan,50,555,140,105,55,fire,fire,92.9
"['Overgrow', 'Long Reach']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,75,3840,70,420,45,Blade Quill Pokémon,75,1059860,7,0.7,78,images/dartrix.png,0,Fukuthrowフクスロー,Dartrix,88.1,723,70,70,52,grass,flying,16.0
"['Hustle', 'Inner Focus']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,90,5120,70,315,120,Zen Charm Pokémon,45,1059860,5,0.6,70,images/darumaka.png,0,Darumakkaダルマッカ,Darumaka,50,554,15,45,50,fire,,37.5
"['Overgrow', 'Long Reach']",1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5,107,3840,70,530,45,Arrow Quill Pokémon,75,1059860,7,1.6,78,images/decidueye.png,0,Junaiperジュナイパー,Decidueye,88.1,724,100,100,70,grass,ghost,36.6
"['Cheek Pouch', 'Pickup', 'Plus']",0.5,0.5,0,0.5,1,0.5,1,0.5,1,1,2,1,1,2,1,1,1,1,58,5120,70,431,180,Antenna Pokémon,57,1000000,6,0.2,67,images/dedenne.png,0,Dedenneデデンネ,Dedenne,50,702,81,67,101,electric,fairy,2.2
"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5,60,5120,70,335,190,Season Pokémon,50,1000000,5,0.6,60,images/deerling.png,0,Shikijikaシキジカ,Deerling,50,585,40,50,75,normal,grass,19.5
['Hustle'],2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5,65,10240,35,300,45,Irate Pokémon,50,1250000,5,0.8,52,images/deino.png,0,Monozuモノズ,Deino,50,633,45,50,38,dark,dragon,17.3
"['Cute Charm', 'Normalize', 'Wonder Skin ']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,65,3840,70,400,60,Prim Pokémon,65,800000,3,1.1,70,images/delcatty.png,0,Enekororoエネコロロ,Delcatty,24.6,301,55,55,90,normal,,32.6
"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,5120,70,330,45,Delivery Pokémon,45,800000,2,0.9,45,images/delibird.png,0,Delibirdデリバード,Delibird,50,225,65,45,75,ice,flying,16.0
"['Blaze', 'Magician']",1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,69,5120,70,534,45,Fox Pokémon,72,1059860,6,1.5,75,images/delphox.png,0,Mahoxyマフォクシー,Delphox,88.1,655,114,100,104,fire,psychic,39.0
['Pressure'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,95,30720,0,600,3,DNA Pokémon,90,1250000,3,1.7,50,images/deoxys-normal.png,1,Deoxysデオキシス,Deoxys,0,386,95,90,180,psychic,,60.8
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,Sea Lion Pokémon,80,1000000,1,1.7,90,images/dewgong.png,0,Jugonジュゴン,Dewgong,50,87,70,95,70,water,ice,120.0
"['Torrent', 'Shell Armor']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,413,45,Discipline Pokémon,60,1059860,5,0.8,75,images/dewott.png,0,Futachimaruフタチマル,Dewott,88.1,502,83,60,60,water,,24.5
"['Water Bubble', 'Water Absorb']",1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,40,3840,70,269,200,Water Bubble Pokémon,52,1000000,7,0.3,38,images/dewpider.png,0,Shizukumoシズクモ,Dewpider,50,751,40,72,27,water,bug,4.0
['Steelworker'],1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5,131,6400,70,517,25,Sea Creeper Pokémon,100,1000000,7,3.9,70,images/dhelmise.png,0,Dadarinダダリン,Dhelmise,0,781,86,90,40,ghost,grass,210.0
"['Pressure', 'Telepathy']",0.5,1,1,0.5,1,2,1,0.5,1,0.25,2,1,0.5,0,0.5,0.5,0.5,0.5,120,30720,0,680,3,Temporal Pokémon,120,1250000,4,5.4,100,images/dialga.png,1,Dialgaディアルガ,Dialga,0,483,150,100,90,steel,dragon,683.0
['Clear Body'],0.5,0.5,0,1,1,1,0.5,0.5,1,2,2,1,0.5,1,1,1,4,2,160,6400,70,700,3,Jewel Pokémon,110,1250000,6,0.7,50,images/diancie.png,1,Diancieディアンシー,Diancie,0,719,160,110,110,rock,fairy,8.8
"['Pickup', 'Cheek Pouch', 'Huge Power']",1,1,1,0,1,2,1,1,0,2,1,2,1,0.5,1,0.5,1,2,56,3840,70,423,127,Digging Pokémon,77,1000000,6,1.0,85,images/diggersby.png,0,Horudoホルード,Diggersby,50,660,50,77,78,normal,ground,42.4
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,Mole Pokémon,30,1000000,1,0,10,images/diglett.png,0,Digdaディグダ,Diglett,50,50,35,45,90,ground,ground,0
"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,Transform Pokémon,48,1000000,1,0.3,48,images/ditto.png,0,Metamonメタモン,Ditto,0,132,48,48,48,normal,,4.0
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,Triple Bird Pokémon,70,1000000,1,1.8,60,images/dodrio.png,0,Dodorioドードリオ,Dodrio,50,85,60,60,110,normal,flying,85.2
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,Twin Bird Pokémon,45,1000000,1,1.4,35,images/doduo.png,0,Dodoドードー,Doduo,50,84,35,35,75,normal,flying,39.2
"['Sturdy', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5120,70,500,60,Armor Pokémon,120,1000000,2,1.1,90,images/donphan.png,0,Donfanドンファン,Donphan,50,232,60,60,50,ground,,120.0
['No Guard'],0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,110,5120,70,448,90,Sword Pokémon,150,1000000,6,0.8,59,images/doublade.png,0,Nidangillニダンギル,Doublade,50,680,45,49,35,steel,ghost,4.5
"['Poison Point', 'Poison Touch', 'Adaptability']",0.5,1,2,0.5,1,0.5,0.5,1,1,0.25,2,2,1,0.5,2,1,1,0.5,75,5120,70,494,55,Mock Kelp Pokémon,90,1000000,6,1.8,65,images/dragalge.png,0,Dramidoroドラミドロ,Dragalge,50,691,97,123,44,poison,dragon,81.5
"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,420,45,Dragon Pokémon,65,1250000,1,4.0,61,images/dragonair.png,0,Hakuryuハクリュー,Dragonair,50,148,70,70,70,dragon,,16.5
"['Inner Focus', 'Multiscale']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,600,45,Dragon Pokémon,95,1250000,1,2.2,91,images/dragonite.png,0,Kairyuカイリュー,Dragonite,50,149,100,100,80,dragon,flying,210.0
"['Berserk', 'Sap Sipper', 'Cloud Nine']",1,1,2,0.5,2,2,0.5,1,0,0.5,1,2,1,1,1,1,1,0.5,60,5120,70,485,70,Placid Pokémon,85,1000000,7,3.0,78,images/drampa.png,0,Jijilongジジーロン,Drampa,50,780,135,91,36,normal,dragon,185.0
"['Battle Armor', 'Sniper', 'Keen Eye']",1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,90,5120,70,500,45,Ogre Scorp Pokémon,110,1250000,4,1.3,70,images/drapion.png,0,Dorapionドラピオン,Drapion,50,452,60,75,95,poison,dark,61.5
"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,Dragon Pokémon,45,1250000,1,1.8,41,images/dratini.png,0,Miniryuミニリュウ,Dratini,50,147,50,50,50,dragon,,3.3
"['Aftermath', 'Unburden', 'Flare Boost']",0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1,80,7680,70,498,60,Blimp Pokémon,44,1640000,4,1.2,150,images/drifblim.png,0,Fuwarideフワライド,Drifblim,50,426,90,54,80,ghost,flying,15.0
"['Aftermath', 'Unburden', 'Flare Boost']",0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1,50,7680,70,348,125,Balloon Pokémon,34,1640000,4,0.4,90,images/drifloon.png,0,Fuwanteフワンテ,Drifloon,50,425,60,44,70,ghost,flying,1.2
"['Sand Rush', 'Sand Force', 'Mold Breaker']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,85,5120,70,328,120,Mole Pokémon,40,1000000,5,0.3,60,images/drilbur.png,0,Mogurewモグリュー,Drilbur,50,529,30,45,68,ground,,8.5
"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,328,190,Hypnosis Pokémon,45,1000000,1,1.0,60,images/drowzee.png,0,Sleepeスリープ,Drowzee,50,96,43,90,42,psychic,,32.4
"['Rough Skin', 'Sheer Force', 'Mold Breaker']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,120,7680,70,485,45,Cave Pokémon,90,1000000,5,1.6,77,images/druddigon.png,0,Crimganクリムガン,Druddigon,50,621,60,90,48,dragon,,139.0
"['Keen Eye', 'Big Pecks', 'Hydration']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,44,5120,70,305,190,Water Bird Pokémon,50,1000000,5,0.5,62,images/ducklett.png,0,Koaruhieコアルヒー,Ducklett,50,580,44,50,55,water,flying,5.5
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,Mole Pokémon,60,1000000,1,0,35,images/dugtrio.png,0,Dugtrioダグトリオ,Dugtrio,50,51,50,70,110,ground,ground,0
"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,Land Snake Pokémon,70,1000000,2,1.5,100,images/dunsparce.png,0,Nokocchiノコッチ,Dunsparce,50,206,65,65,45,normal,,14.0
"['Overcoat', 'Magic Guard', 'Regenerator']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,40,5120,70,370,100,Mitosis Pokémon,50,1059860,5,0.6,65,images/duosion.png,0,Doublanダブラン,Duosion,50,578,125,60,30,psychic,,8.0
"['Swarm', 'Hustle', 'Truant']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,109,5120,70,484,90,Iron Ant Pokémon,112,1000000,5,0.3,58,images/durant.png,0,Aiantアイアント,Durant,50,632,48,48,109,bug,steel,33.0
"['Pressure', 'Frisk']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,70,6400,35,455,90,Beckon Pokémon,130,800000,3,1.6,40,images/dusclops.png,0,Samayouruサマヨール,Dusclops,50,356,60,130,25,ghost,,30.6
"['Pressure', 'Frisk']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,100,6400,35,525,45,Gripper Pokémon,135,800000,4,2.2,45,images/dusknoir.png,0,Yonoirヨノワール,Dusknoir,50,477,65,135,45,ghost,,106.6
"['Levitate', 'Frisk']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,40,6400,35,295,190,Requiem Pokémon,90,800000,3,0.8,20,images/duskull.png,0,Yomawaruヨマワル,Duskull,50,355,30,90,25,ghost,,15.0
"['Shield Dust', 'Compoundeyes']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,385,45,Poison Moth Pokémon,70,1000000,3,1.2,60,images/dustox.png,0,Dokucaleドクケイル,Dustox,50,269,50,90,65,bug,poison,31.6
